Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.14901960784313725,0.2764705882352941,0.28496732026143795,0.380718954248366,0.23006535947712417,0.3741830065359477,0.3666666666666667,0.2699346405228758,0.4196078431372549,0.1915032679738562,0.46078431372549017,0.016993464052287584,0.3411764705882353,0.0823529411764706,0.33562091503267977,0.2633986928104575,0.3934640522875817,0.4542483660130719,0.1431372549019608,0.376797385620915,0.39477124183006534
B,0.0,0.025185185185185175,0.0,0.6044444444444445,0.0,0.0,0.0,0.025185185185185175,0.03148148148148148,0.0,0.6244444444444445,0.0,0.47148148148148145,0.0,0.0,0.0,0.0,0.6181481481481481,0.0,0.5733333333333334,0.025185185185185175
C,0.0,0.1974242423787879,0.0,0.08196969696969697,0.2487878787878788,0.0,0.03977272727272727,0.20704545450000003,0.3479545454545454,0.027272727136363636,0.6126515150151515,0.0,0.22833333324242425,0.13530303030303029,0.0011363636363636365,0.0,0.05303030303030303,0.621742424060606,0.04984848484848485,0.4088636362272727,0.30393939384848484
D,0.0,0.1888671875,0.05,0.4521484375,0.001171875,0.0,0.0625,0.2265625,0.5671875,0.0,0.5029296875,0.0,0.465625,0.05234375,0.05,0.0,0.075,0.5779296875,0.001171875,0.45273437499999997,0.3025390625
E,0.0,0.048648648648648644,0.032432432432432434,0.048648648648648644,0.0,0.0,0.0,0.24324324324324326,0.048648648648648644,0.0,0.1783783783783784,0.0,0.032432432432432434,0.032432432432432434,0.032432432432432434,0.0,0.048648648648648644,0.1783783783783784,0.0,0.08108108108108109,0.06486486486486487
F,0.0,0.0888888888888888,0.0,0.1555555555555555,0.0,0.0,0.0,0.0888888888888888,0.1777777777777777,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0888888888888888,0.0444444444444444,0.0,0.0666666666666666,0.0666666666666666,0.0444444444444444,0.1333333333333333,0.0
G,0.0,0.13333333333333333,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.016666666666666666,0.0,0.6333333333333333,0.016666666666666666,0.0,0.0,0.024999999999999998,0.5833333333333334,0.0,0.375,0.0,0.35000000000000003,0.049999999999999996,0.041666666666666664,0.0,0.016666666666666666,0.375,0.05000000000000001,0.049999999999999996,0.21666666666666665
I,0.0,0.0,0.0,0.3,0.0,0.0,0.15,0.0,0.3,0.0,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.1
J,0.0,0.1,0.02,0.08,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.01
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0
M,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1222222222222222,0.0,0.1111111111111111,0.0,0.08888888888888885,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0333333333333333,0.0444444444444444
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0222222222222222,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0888888888888888,0.0,0.0,0.0,0.0,0.1555555555555555,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.4
S,0.0,0.06571428571428571,0.0,0.05714285714285715,0.17714285714285713,0.0,0.0,0.05714285714285715,0.17142857142857143,0.0,0.2742857142857143,0.0,0.18857142857142858,0.17142857142857143,0.0,0.0,0.0,0.27999999999999997,0.05714285714285715,0.17142857142857143,0.1142857142857143
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
