region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
AT,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,C,0.0002092468345371,0.0494178301954657,0.0019841802775197,0.0978872219057373,0.0244216085540597,0.0011992006309872,0.0032581839682811,0.0426294601944029,0.1264931865058395,0.0021653130920076,0.1287720447125335,2.0508459743380865e-05,0.1498681576520269,0.0367661980268375,0.002816018448753,0.0009577251024282,0.0032972074577215,0.1327616722019726,0.0139472229419658,0.0780971851591938,0.0458953525713181
AT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,F,0.0002045886055901,0.0840672021755958,0.0020721233039538,0.1020412499436935,0.0724820562166836,0.0011757281037604,0.0033035586069226,0.0600649801328478,0.1603879732253167,0.0033325915313685,0.2349073231683858,2.35908606979721e-05,0.2009684504975158,0.0896543712708114,0.0027167504560084,0.0009374789828271,0.0034104027455786,0.2473119730337663,0.0251187204236336,0.12406427739681,0.0852194285181269
AT,G,0.0002194875871739,0.0740331585867277,0.0024111930228279,0.1188688484672995,0.0251168544699462,0.0012669772592375,0.0047901362757193,0.0437366242029225,0.1597615014273954,0.0024515152770648,0.145103254752487,2.291525688102666e-05,0.2693295726037487,0.0645710961080087,0.003401972122667,0.001009765058107,0.0040252169455644,0.1529084937598889,0.0209800335336674,0.0806325989032688,0.0573353434610161
AT,H,0.0001751459767484,0.0496550354550957,0.0025345630491204,0.1486689713851021,0.0181360955433534,0.0011302734768774,0.0030549591092092,0.0351602480630232,0.1987884897194688,0.0018293966064115,0.1370695444038876,2.9084404971202167e-05,0.2246092113443789,0.033334177370109,0.0046076690621522,0.0008438137636216,0.0045307622644285,0.1448365616246223,0.0118034446014938,0.0500013172556291,0.0385731823270163
AT,I,0.0023677130559371,0.1512679014961497,0.0165381035460978,0.1209111747178009,0.0856233427515989,0.0150446595555994,0.0240532130286933,0.1113686660130099,0.2350948525744906,0.0105981336098958,0.2994135528074573,0.0006029132697776,0.3014165385852592,0.0616765327727339,0.0170368252249007,0.0113287880010322,0.0476662681289026,0.3106898942734,0.017873019624546,0.160462671639762,0.1358196728169777
AT,J,0.0001367705185502,0.0590704188412742,0.001902823136818,0.1106610038881996,0.0278826116044643,0.0008074170825711,0.0026854822365454,0.0275456699031374,0.091511461155072,0.0017273777106504,0.1221920208775865,2.161346962967498e-05,0.1602132518534979,0.033048662926876,0.0027127533368246,0.0006338604103244,0.0032786252956284,0.1295337085352126,0.0087340210886492,0.0434695999977094,0.0272891303711372
AT,K,9.517673149213172e-05,0.0494282736020884,0.001132854917628,0.0418722462906419,0.010003324659809,0.0005857980407886,0.0014877722819133,0.0152593858968309,0.0501062378395847,0.0008777282491109,0.0505811067361339,1.4143063416294204e-05,0.3315081725511979,0.0191833368702341,0.00154384756698,0.0004490706309085,0.0019820828535741,0.0541337773039077,0.0044984891349443,0.0216900830255416,0.015142857953008
AT,L,0.0001303118468899,0.1162404365202589,0.011611184832524,0.0925580314533793,0.0212638065787814,0.0007804509164978,0.0030532498915702,0.1029035704059944,0.1339546210526856,0.0016224540572579,0.1978336161777034,1.51062424302264e-05,0.2511727638322331,0.0767047207945433,0.0121749630897625,0.0006076485638725,0.0177811389850284,0.2244452602442152,0.0091553850760236,0.0824560312361377,0.0544281808650061
AT,M,0.0004039364677017,0.1160773599254074,0.004137060128429,0.1116566257286864,0.0466591638612679,0.0022512651153681,0.0054153212335108,0.0502268238264354,0.1509702048981618,0.0042781293683785,0.1528074972261651,3.788469210577469e-05,0.2897252750500459,0.0614008310573204,0.004919315304566,0.0018275856189939,0.0067861792300252,0.1609357757273939,0.019845905014203,0.0913898305926214,0.0609543560103973
AT,N,0.0001765552831509,0.0713607517718193,0.0018223020033974,0.0988686675373949,0.026270349212941,0.0010877030628702,0.0029628316451177,0.032912124887114,0.1343679129428594,0.0022397496191535,0.1226564486526453,2.401108378904506e-05,0.2294448015951451,0.0474408748060928,0.0033293850160735,0.0008333817760258,0.0033365550957385,0.1305907347133731,0.0130700447154557,0.0593130809528384,0.0441711222356083
AT,O,0.0002547350183448,0.1094565884382537,0.004270225571577,0.1063601280495534,0.0327714139934353,0.0014854954910998,0.0054776816347011,0.0635218813060989,0.154105476869707,0.0043642704693544,0.1863908511259674,3.275566514884288e-05,0.2708527968604727,0.0821375203661365,0.00495680537403,0.0011744585459527,0.0072719942056544,0.2068666292785952,0.0174370012907658,0.0933214787375065,0.0529230174590615
AT,P,0.0002793411793905,0.1232488028156116,0.0029876972030379,0.1069014060286226,0.0269974612454962,0.001846602726795,0.0043700029213056,0.0364386510269238,0.134065515678366,0.0032264087102358,0.1212355931041705,2.773978042239144e-05,0.2928884245774287,0.0456784342393228,0.0037205634351733,0.0013938373513408,0.0051469266248956,0.1295816093414682,0.012650626473414,0.060080957005406,0.0438923593886865
AT,Q,0.0004510927184459,0.1236373560211656,0.0056433648659214,0.1124909144486461,0.041771597802391,0.0031165026169733,0.0069436442360536,0.0715807603657947,0.1663869010542326,0.0189347218677851,0.1961564447459673,3.026721731369653e-05,0.2824659412304778,0.0622230046637807,0.0063081878253882,0.0022417481215135,0.0139280801011872,0.2196263067828361,0.0147817394790728,0.112501203283098,0.0788912583566649
AT,R,0.0003312076589804,0.0891000150340684,0.004276822673706,0.1697534476139104,0.0287716958213995,0.0020482425903382,0.0052654674285955,0.0425615293661948,0.2407812937616406,0.0025087601181958,0.1958933431113712,4.564030750552575e-05,0.3162730015120488,0.0420405583293003,0.0049299460715673,0.0015659679540605,0.0081514457285593,0.2290983691077495,0.0100807547565306,0.0669412056371727,0.0896908470495999
AT,S,0.0001559042230452,0.0887091399171596,0.0017130369816526,0.1037007663274416,0.0249154434254381,0.0009391688635133,0.0025426907124589,0.0332945813441126,0.1192469902126248,0.001805991471899,0.1155989076309379,1.977747378263358e-05,0.2139100325407445,0.0425227020468113,0.0023182034064812,0.0007288008826251,0.0030053436197547,0.1231857028637015,0.0112093715943508,0.054292502659068,0.0360628953860593
AT,T,0.0064345645150265,0.0537622146975729,0.0270743647752115,0.1009073439672348,0.0336976664939394,0.0263351001732138,0.498818535791114,0.0415417181213583,0.1176769042739,0.0203827660200579,0.57911762141652,4.566084591924397e-05,0.336696592960891,0.0231679966933788,0.0276737683581762,0.0259372054311421,0.028626485538184,0.5781698551163659,0.0205992278019699,0.354451552631121,0.051072720251703
AT,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,A,0.0007650562489155,0.0927678600590903,0.0051404389932854,0.1529711579185596,0.0360175225069533,0.0046022580123162,0.0081025834728275,0.0568059244635378,0.1809367013797596,0.0048304895225433,0.1909977105988571,9.02136303155262e-05,0.2691590667243129,0.0252296078174227,0.0055050605968653,0.0035742360012136,0.0082264305371116,0.1890155968735858,0.0203861585586644,0.0994965187930106,0.065195300106922
AU,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,C,0.0001383948008587,0.0385025746152738,0.0012727674610195,0.1054203675833185,0.0175337274021337,0.0008707734773711,0.0015995931123228,0.0275573501247441,0.0792159219877325,0.0010500290425009,0.0951577234263949,2.72489861610349e-05,0.1176833699614593,0.0256857330672599,0.0014548701065185,0.0006593106280804,0.0020884971249119,0.0983706164343962,0.009407103983775,0.0586556715477601,0.030781960325759
AU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,F,0.0003830010415998,0.0693124272844168,0.0039509069559112,0.0828570082053423,0.0319417433747478,0.0020079697226653,0.002931895272997,0.0378669747014289,0.0944905338089931,0.0020745718175435,0.1714556656541098,4.843460520314744e-05,0.2129189518312728,0.045433515918323,0.0041966949343579,0.0016906593518214,0.0058687931811738,0.1834369561069396,0.0098706373146379,0.0965868598474632,0.0489230432877593
