Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.2740741111111111,0.1549020235294157,0.1748044528951619,0.150076157229841,0.16237379747475,0.1861789097560975,0.1656028946808531,0.1827957322580645,0.2282051346153845,0.2666666666666666,0.1456790851851852,0.1621469423728813,0.1695239361904971,0.1363636609090909,0.1918919378378379,0.184313775490196,0.164246479978004,0.1694445291666666,0.1740741185185185,0.1715847475409868,0.1362140856378729
B,0.6740741777777779,0.4967322366013216,0.5042255436620087,0.455707915616463,0.494949664747479,0.5447156048780488,0.5002365976359424,0.6301076516129032,0.6923077153846153,0.0,0.4921813226337482,0.5073447823728827,0.4101590469841829,0.4575758412121212,0.5315316702702702,0.5464053784313724,0.5348736677667982,0.483333575,0.5629631185185185,0.5726777551912688,0.4288068815638273
C,0.6370371333333334,0.4501091237472902,0.4704227201878282,0.4608829570167671,0.4878789627272791,0.4910570487804879,0.4770687406619468,0.5376345161290323,0.643589776923077,0.4,0.4329220337448592,0.5016950671186454,0.4063495212698972,0.3969697706060606,0.4936938216216216,0.5111112549019607,0.504070577777798,0.4500002250000001,0.4962964296296296,0.5074682673952755,0.3876545893827534
D,0.6074075111111111,0.3838781572984863,0.4384978234742113,0.395129508614937,0.4136365096969745,0.4308944243902439,0.4125297023640722,0.4795699870967742,0.5897436153846154,0.0,0.3884775670781926,0.4463278128813572,0.40127014730164,0.351515216060606,0.4342343405405406,0.4392158098039215,0.4253026743674536,0.4055557583333334,0.4419754296296296,0.4367942921675869,0.3382718387654644
E,0.3851852444444445,0.2091504104575215,0.2541472087637127,0.2167428480974246,0.2343435232323272,0.2569106341463414,0.2312057546099319,0.2408602580645161,0.2871795076923077,0.0,0.197530962962963,0.2282486576271186,0.2133335009524114,0.1818182145454545,0.2702703351351351,0.254902031372549,0.2332234011001188,0.2444445666666667,0.2370370962962963,0.2316940546448131,0.1646091687242963
F,0.2493827481481481,0.180537476978945,0.1786124861763305,0.1756469396042712,0.1855219510437732,0.2000000552845528,0.186446090386134,0.2186380365591397,0.2444444564102564,0.0,0.1722908976680395,0.1977401726553677,0.1413757722751523,0.1606060903030303,0.1987988486486486,0.2032680294117647,0.1935460867620171,0.1722223083333333,0.1983539629629629,0.2030358796599922,0.1511660856241572
G,0.3037037333333334,0.2440088135076313,0.2025039881064309,0.2249620194216247,0.23282835868687,0.2699187804878049,0.2352246817966957,0.3268817806451612,0.3461538538461539,0.0,0.2469137037037037,0.2757062942372895,0.1625398069841485,0.2363636781818182,0.2486487135135135,0.2509804607843137,0.2651266028602971,0.2000001,0.2913581037037037,0.2805100932604787,0.2189301914403496
H,0.5333334222222222,0.3276689795207058,0.3843507029734254,0.3811264605175232,0.3858587268686927,0.3804879024390244,0.3758866624113532,0.3698925419354839,0.5230769538461539,0.0,0.3094651818930074,0.4316385450847471,0.3606351974603657,0.2787879296969697,0.3927928864864866,0.3934641647058823,0.3819583256325782,0.3555557333333334,0.3555556444444444,0.3526412648451803,0.293004317366283
I,0.0333333333333333,0.0241830169934647,0.0150234793427239,0.0146118771689506,0.0159090954545454,0.0219512268292682,0.0205673836879436,0.0322580709677419,0.023076923076923,0.0,0.0222222333333333,0.0152542423728813,0.0038095276190485,0.0227272768181818,0.0189189243243243,0.0235294176470588,0.0174917547854792,0.016666675,0.0259259333333333,0.0267759633879786,0.0185185314814833
J,0.3037037333333334,0.2440088135076313,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2699187804878049,0.2054374264775447,0.3268817806451612,0.2461538461538461,0.0,0.2469137037037037,0.180791013559322,0.0965080116825531,0.2363636781818182,0.2486487135135135,0.2372549607843137,0.1984599097909861,0.2000001,0.2913581037037037,0.2805100932604787,0.1769548563786185
K,0.0666866666666666,0.0483805437971254,0.0300559727730535,0.0292325214642027,0.0318277363663636,0.0439156243946341,0.0411471078060999,0.0645354967780645,0.0461676923076923,0.0,0.0444578000066666,0.0305176372911864,0.0076213409546685,0.0454681900024545,0.0378492000032432,0.0470729529447058,0.0349940046238297,0.033343350005,0.0518674222266666,0.0535679923539901,0.0370481740818555
L,0.4666667333333333,0.3468411080610117,0.3652583511737353,0.3281584020700329,0.3580809213131336,0.3609757170731707,0.3472814576832213,0.4731183741935483,0.5256410384615384,0.0,0.3390948263374518,0.3548023620338996,0.3123811885714686,0.3333333933333333,0.338738827027027,0.3810458549019607,0.3590760290429188,0.3500001750000001,0.3802470222222222,0.4036430969034689,0.3259261511111422
M,0.3037037333333334,0.2440088135076313,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2699187804878049,0.2054374264775447,0.3268817806451612,0.2461538461538461,0.0,0.2469137037037037,0.180791013559322,0.0711111746031885,0.2363636781818182,0.2486487135135135,0.2372549607843137,0.1984599097909861,0.2000001,0.2913581037037037,0.2805100932604787,0.1769548563786185
N,0.2518518814814815,0.1850400206245516,0.1772561998956835,0.1775748956671835,0.1855219510437733,0.2037940943089431,0.1900709931442113,0.2222222666666665,0.2470085589743589,0.0,0.1755830803840888,0.2018833003389835,0.1358731231746228,0.1636363939393939,0.2018018522522522,0.206971733986928,0.1960396701870264,0.1703704555555555,0.2024691901234567,0.2064360019429311,0.1525378286968597
O,0.1925926222222222,0.1612201132897646,0.1527387073552535,0.1534247028310575,0.1525252965656563,0.1609756585365853,0.1657211052009489,0.2150538064516129,0.2769230769230769,0.0,0.1613169596707852,0.2000000535593234,0.1422223263492228,0.1515151787878788,0.1423423783783783,0.1705882823529411,0.1707371315731644,0.1333334,0.1728395555555555,0.1785064225865245,0.1695474408230607
P,0.3037037333333334,0.2440088135076313,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2699187804878049,0.2054374264775447,0.3268817806451612,0.2461538461538461,0.0,0.2469137037037037,0.180791013559322,0.0711111746031885,0.2363636781818182,0.2486487135135135,0.2372549607843137,0.1984599097909861,0.2000001,0.2913581037037037,0.2805100932604787,0.1769548563786185
