Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.22299689146695714,0.13082366811696675,0.1555525478305679,0.13346718188906523,0.14445109772364334,0.15317236703331738,0.14157864491378308,0.16129386616065777,0.1938453249622925,0.010457516339869277,0.12781415399015647,0.14491529659576852,0.1375766176460397,0.11851853969647455,0.15550554403815578,0.15383297018774822,0.1441806105811944,0.1490559931917211,0.1486040897240377,0.14756066820601,0.11549942120727873
B,0.5191770370781893,0.3829179382756506,0.3919105415238216,0.3556159940357596,0.38586526575944974,0.4210028317344173,0.3871969784769352,0.4843290484468339,0.5370133138461538,0.0,0.3801160313016335,0.39503882740740853,0.32248114243978515,0.3522110633035914,0.41207551638638634,0.42200205255628165,0.4153580833622789,0.3757923689660494,0.4345771660493828,0.44176562285098414,0.3314893319540023
C,0.28913304506902354,0.22688990660821212,0.21095765599370742,0.19496201112315956,0.20336572980720125,0.243481226736881,0.21804516205958901,0.2955490944051808,0.31615482059615385,0.013636363636363634,0.2327005821343705,0.22646984599794642,0.1614873777644277,0.2140714339946051,0.2278501836015561,0.23335765897846103,0.22537077836642877,0.20549042256249994,0.2641545800561167,0.258257093710691,0.20020745821909244
D,0.3583189248914931,0.2568671068610501,0.25820750164626766,0.2344235349278331,0.24969873295967682,0.2861201916301448,0.2591994090651824,0.32008784688760084,0.3566231075721154,0.0,0.2576824242500983,0.2674446839698101,0.2084190601060553,0.2347271969377367,0.2796330258445946,0.27972140558555453,0.2734266335434823,0.24796019342447914,0.2955054810257523,0.2920758722802171,0.22074909188346065
E,0.06366366846846844,0.040487563328034964,0.03522396980078915,0.031790706010121544,0.03447994610974643,0.042188542386288684,0.03875792098907473,0.050915441325196126,0.04573804740124738,0.0,0.03763765645645643,0.033348613467704985,0.021003878301161676,0.036855043488943466,0.04032141300219136,0.04356121971383146,0.03592901015074615,0.03603605405405406,0.04444445645645642,0.044838293132477586,0.03136471998665642
F,0.1843621703703703,0.1348826519002701,0.141749315423415,0.1320142501065519,0.1410213731537611,0.1494128699186991,0.1391384822169711,0.1689367118279569,0.1960114034188034,0.0,0.1333334021947884,0.1472693462900192,0.1207761069488698,0.1232323457575757,0.1471471849849849,0.1503268389978213,0.1483437734017905,0.1351852527777778,0.1519890674897119,0.1544222248127942,0.1187014995701988
G,0.2740741037037037,0.24299211343501037,0.19102771726657555,0.1813293351395333,0.1927610044107748,0.2623307024390244,0.21536651158392836,0.320430169892473,0.27948718205128203,0.0,0.24471891742112595,0.21242944045197784,0.10158738539684183,0.23131317313131314,0.24264270630630627,0.24183012745098034,0.22068214081408977,0.19629639444444444,0.2823046049382716,0.28002436259867,0.19094663473252885
H,0.2888889287037037,0.2343319827705229,0.21666674937403788,0.22284380622781444,0.23131320902777955,0.24878055955284553,0.24042562505910636,0.2889785543010753,0.3376068474358975,0.0,0.228875291392321,0.2715631673728825,0.18063505904764307,0.2098485239015151,0.23888895,0.2559913558006536,0.2554364637330503,0.20208343437499998,0.2554527462962963,0.26349430540377045,0.21347751322018474
I,0.0333333333333333,0.0241830169934647,0.0150234793427239,0.0146118771689506,0.0159090954545454,0.0219512268292682,0.0205673836879436,0.0322580709677419,0.023076923076923,0.0,0.0222222333333333,0.0152542423728813,0.0038095276190485,0.0227272768181818,0.0189189243243243,0.0235294176470588,0.0174917547854792,0.016666675,0.0259259333333333,0.0267759633879786,0.0185185314814833
J,0.18203705444444446,0.14356215055555924,0.11265262370892795,0.0994292582328826,0.10804296416919215,0.15780492512195118,0.12479318969267345,0.18973121854838707,0.15006410403846152,0.0,0.1432922528806585,0.112485909220339,0.05060321825397735,0.1371969941969697,0.1469369751351351,0.1432353301470588,0.122117751496154,0.11944450416666665,0.1684568361111111,0.1647541428415332,0.10650213209054554
