Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.0222222222222222,0.0161220113289764,0.0100156528951492,0.0097412514459671,0.0106060636363636,0.0146341512195121,0.0137115891252957,0.0215053806451612,0.0153846153846153,0.0,0.0148148222222222,0.0101694949152542,0.0025396850793657,0.0151515178787878,0.0126126162162162,0.0156862784313725,0.0116611698569861,0.0111111166666666,0.0172839555555555,0.0178506422586524,0.0123456876543222
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.1061728666666666,0.0768337275236039,0.0923318018779408,0.0801623796854429,0.0851852135016839,0.0867208926829268,0.0802994795114276,0.1017921333333333,0.1307692333333333,0.0,0.0817558729766814,0.088888912768362,0.0897355166137676,0.0737373867676767,0.0840841063063062,0.0838780196078431,0.0877888083608396,0.0870370805555555,0.091358049382716,0.089738943776565,0.0757202166255214
G,0.2148148444444444,0.2409587132897686,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2471545463414634,0.2054374264775447,0.3075269483870967,0.2461538461538461,0.0,0.2403293448559704,0.180791013559322,0.0711111746031885,0.221212163030303,0.2306306918918918,0.2372549607843137,0.1984599097909861,0.1888889833333333,0.2641976074074074,0.2790529012750524,0.1769548563786185
H,0.0740740888888888,0.1002179102396549,0.0857590278560309,0.0864536028614958,0.0929293210101009,0.0991870243902439,0.0938534678487021,0.1376344387096774,0.1538461538461538,0.0,0.1053498502057629,0.107344662372882,0.0736508482539771,0.0969697151515151,0.0882883135135135,0.1000000274509804,0.1130913476347683,0.0777778166666666,0.1135802814814815,0.1209472102003672,0.0971194080658526
I,0.0333333333333333,0.0241830169934647,0.0150234793427239,0.0146118771689506,0.0159090954545454,0.0219512268292682,0.0205673836879436,0.0322580709677419,0.023076923076923,0.0,0.0222222333333333,0.0152542423728813,0.0038095276190485,0.0227272768181818,0.0189189243243243,0.0235294176470588,0.0174917547854792,0.016666675,0.0259259333333333,0.0267759633879786,0.0185185314814833
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0666666666666666,0.0483660339869294,0.0300469586854478,0.0292237543379013,0.0318181909090909,0.0439024536585365,0.0411347673758872,0.0645161419354838,0.0461538461538461,0.0,0.0444444666666666,0.0305084847457627,0.0076190552380971,0.0454545536363636,0.0378378486486486,0.0470588352941176,0.0349835095709584,0.03333335,0.0518518666666666,0.0535519267759573,0.0370370629629666
L,0.4666667333333333,0.3468411080610117,0.3652583511737353,0.3281584020700329,0.3580809213131336,0.3609757170731707,0.3472814576832213,0.4731183741935483,0.5256410384615384,0.0,0.3390948263374518,0.3548023620338996,0.3123811885714686,0.3333333933333333,0.338738827027027,0.3810458549019607,0.3590760290429188,0.3500001750000001,0.3802470222222222,0.4036430969034689,0.3259261511111422
M,0.3037037333333334,0.2440088135076313,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2699187804878049,0.2054374264775447,0.3268817806451612,0.2461538461538461,0.0,0.2469137037037037,0.180791013559322,0.0711111746031885,0.2363636781818182,0.2486487135135135,0.2372549607843137,0.1984599097909861,0.2000001,0.2913581037037037,0.2805100932604787,0.1769548563786185
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.1925926222222222,0.1612201132897646,0.1527387073552535,0.1534247028310575,0.1525252965656563,0.1609756585365853,0.1657211052009489,0.2150538064516129,0.2769230769230769,0.0,0.1613169596707852,0.2000000535593234,0.1422223263492228,0.1515151787878788,0.1423423783783783,0.1705882823529411,0.1707371315731644,0.1333334,0.1728395555555555,0.1785064225865245,0.1695474408230607
P,0.3037037333333334,0.2440088135076313,0.1852895818466479,0.1595129929984876,0.1727273272727272,0.2699187804878049,0.2054374264775447,0.3268817806451612,0.2461538461538461,0.0,0.2469137037037037,0.180791013559322,0.0711111746031885,0.2363636781818182,0.2486487135135135,0.2372549607843137,0.1984599097909861,0.2000001,0.2913581037037037,0.2805100932604787,0.1769548563786185
Q,0.0222222222222222,0.0161220113289764,0.0100156528951492,0.0097412514459671,0.0106060636363636,0.0146341512195121,0.0137115891252957,0.0215053806451612,0.0153846153846153,0.0,0.0148148222222222,0.0101694949152542,0.0025396850793657,0.0151515178787878,0.0126126162162162,0.0156862784313725,0.0116611698569861,0.0111111166666666,0.0172839555555555,0.0178506422586524,0.0123456876543222
R,0.0666666666666666,0.0483660339869294,0.0300469586854478,0.0292237543379013,0.0318181909090909,0.0439024536585365,0.0411347673758872,0.0645161419354838,0.0461538461538461,0.0,0.0444444666666666,0.0305084847457627,0.0076190552380971,0.0454545536363636,0.0378378486486486,0.0470588352941176,0.0349835095709584,0.03333335,0.0518518666666666,0.0535519267759573,0.0370370629629666
