Bank,region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
Barclays,AT,A,0.5806174091188289,0.34837044547129725,0.4644939272950631,0.5806174091188289,0.34837044547129725,0.5806174091188289,0.5806174091188289,0.34837044547129725,0.5806174091188289,0.34837044547129725,0.5806174091188289,0.38707827274588585,0.5806174091188289,0.23224696364753156,0.5806174091188289,0.5806174091188289,0.5806174091188289,0.5806174091188289,0.23224696364753156,0.5806174091188289,0.5806174091188289
Barclays,AT,B,0.0,0.3739576310535653,0.0,0.9972203494761741,0.0,0.0,0.0,0.3739576310535653,0.49861017473808705,0.0,0.9972203494761741,0.0,0.7479152621071306,0.0,0.0,0.0,0.0,0.9972203494761741,0.0,0.9972203494761741,0.49861017473808705
Barclays,AT,C,0.0,18.573252080244746,0.0,27.85987812036712,18.573252080244746,0.0,46.43313020061186,18.573252080244746,27.85987812036712,27.859877841768334,46.43313020061186,0.0,18.573252080244746,27.85987812036712,4.6433130200611865,0.0,18.573252080244743,46.43313020061186,9.286626040122373,27.85987812036712,27.85987812036712
Barclays,AT,D,0.0,2.4004452412904964,1.6002968275269978,4.000742068817495,0.20003710344087472,0.0,4.000742068817495,2.4004452412904964,4.000742068817495,0.0,4.000742068817495,0.0,3.2005936550539955,1.6002968275269978,1.6002968275269978,0.0,2.4004452412904964,4.000742068817495,0.10001855172043736,4.000742068817495,3.2005936550539955
Barclays,AT,E,0.0,6.484552323833425,4.323034882555618,6.484552323833425,0.0,0.0,0.0,6.484552323833425,6.484552323833425,0.0,10.807587206389044,0.0,4.323034882555618,4.323034882555618,4.323034882555618,0.0,6.484552323833425,10.807587206389044,0.0,10.807587206389044,8.646069765111235
Barclays,AT,F,0.0,0.3660615058948661,0.0,0.7321230117897322,0.0,0.0,0.0,0.3660615058948661,0.7321230117897322,0.0,0.549092258842299,0.0,0.549092258842299,0.549092258842299,0.18303075294743287,0.0,0.3660615058948661,0.549092258842299,0.18303075294743287,0.549092258842299,0.0
Barclays,AT,G,0.0,1.8064462892405546,0.0,7.2257851569622185,0.0,0.0,0.0,0.0,5.419338867721663,0.0,0.0,0.0,5.419338867721663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barclays,AT,H,0.0,1.51446177882319,0.0,7.57230889411595,1.51446177882319,0.0,0.0,1.51446177882319,6.05784711529276,0.0,4.543385336469571,0.0,6.05784711529276,2.2716926682347856,1.51446177882319,0.0,1.51446177882319,4.543385336469571,1.51446177882319,2.2716926682347856,4.543385336469571
Barclays,AT,I,0.0,0.0,0.0,0.9746881485873728,0.0,0.0,0.9746881485873728,0.0,0.9746881485873728,0.0,1.299584198116497,0.0,0.6497920990582485,0.0,0.0,0.0,0.0,1.299584198116497,0.32489604952912426,0.0,0.6497920990582485
Barclays,AT,J,0.0,0.7172151408159021,0.5737721126527217,0.8606581689790823,0.0,0.0,0.0,0.0,1.4344302816318042,0.0,0.0,0.0,1.4344302816318042,0.0,0.0,0.0,0.43032908448954116,0.0,0.0,0.0,0.2868860563263608
Barclays,AT,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.680503533800226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barclays,AT,L,0.0,0.6429937391579315,0.0,0.0,0.0,0.0,0.0,0.3214968695789657,0.3214968695789657,0.0,0.964490608736897,0.0,0.6429937391579315,0.6429937391579315,0.0,0.0,0.0,1.285987478315863,0.0,0.0,0.0
Barclays,AT,M,0.0,0.17730474737993765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546094947598753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
