Bank,region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
Barclays,AT,A,0.25895175473019455,0.15191699846698947,0.18063303460643407,0.154986738701641,0.16774164420934506,0.17786908579096603,0.16440605199279068,0.18730005335392044,0.2250999406988074,0.012143632086145346,0.14842224587695924,0.16828068810224348,0.15975875858595062,0.13762785490222817,0.1805784521660958,0.17863620117492876,0.16742754512164781,0.17308900916122177,0.17256424312006552,0.1713525857232333,0.13412194939218894
Barclays,AT,B,0.6471673829438956,0.47731695028492543,0.48852645897722746,0.4432843823145715,0.48099086896419396,0.5247907387408182,0.48265088274110984,0.6037284786920181,0.6694007556337749,0.0,0.47382430197013914,0.49242594690484237,0.4019809469540979,0.4390400495462279,0.5136626130767588,0.5260362929122973,0.5177544163103571,0.46843474688850395,0.5417114917526635,0.5506720860075225,0.41320988432349204
Barclays,AT,C,13.425352326989344,10.535208574743779,9.795424307571704,9.052696446654805,9.442907410480224,11.305595502478292,10.12451939952641,13.723269581188687,14.680057948292292,0.6331790481901601,10.8050164280034,10.515703845735162,7.498364437491066,9.940006766903188,10.579797241404373,10.835526562656861,10.464670695301622,9.541563545823308,12.265524008833616,11.991685257500134,9.296258974620676
Barclays,AT,D,1.4335415968668521,1.0276590405144417,1.0330216143204851,0.937868098106689,0.9989802254822043,1.1446930873928434,1.0369899800597098,1.280588914760437,1.4267570691761886,0.0,1.0309209150922454,1.069977198239619,0.8338309017096973,0.939082971484412,1.1187396103271992,1.1190931948748886,1.093909435552554,0.9920247772254365,1.182241209505877,1.16852022951803,0.8831601785514192
Barclays,AT,E,0.6880506488516125,0.43757287144193613,0.3806861253772422,0.3435808275570644,0.3726450244526788,0.45595635095025455,0.41887961102776106,0.5502730722738414,0.494317935938936,0.0,0.4067722543972641,0.36041804826438084,0.2270012464121865,0.39831409650201643,0.43577718730601156,0.47079168087390644,0.38830591044342566,0.389462796763338,0.480337338993713,0.4845937632148855,0.3389769464597624
Barclays,AT,F,0.5061592028686772,0.3703151000527943,0.3891672589759625,0.3624400139518942,0.38716872165020727,0.4102072512188455,0.3819993174620287,0.4638092034950171,0.5381417213103997,0.0,0.3660616949513257,0.40432229006307707,0.3315861268936701,0.3383296354723124,0.40398690092845513,0.4127165179496817,0.4072720881118967,0.37114587904958607,0.4172801019363028,0.42396024118955256,0.3258903726348434
Barclays,AT,G,2.475500738062432,2.194761008146971,1.7254065549914956,1.6378085229663342,1.7410620056406312,2.3694316198742187,1.9452401783873507,2.894199456814892,2.524392914534188,0.0,2.210357901411793,1.918711872149613,0.9175607769188749,2.089274116277592,2.1916050820915625,2.1842656818019686,1.9932521718763696,1.7729944666773338,2.549840530131307,2.5292448535665946,1.7246741987777414
Barclays,AT,H,2.187556204234684,1.774434157309056,1.640667553344218,1.6874421358975304,1.7515750700475567,1.8838432437851549,1.8205770990084573,2.1882348769428015,2.556463333553293,0.0,1.7331144046534521,2.0563601876119764,1.367824464215627,1.5890378439565465,1.8089409207910203,1.93844562034609,1.934243806207303,1.5302381874713087,1.9343671028057898,1.9952602723578752,1.61651767205096
Barclays,AT,I,0.10829868317637464,0.07856966686872362,0.048810690886333996,0.04747341168396855,0.05168802264763548,0.07131866879146961,0.06682261709362626,0.10480519822849478,0.07497601142979765,0.0,0.07219915821714412,0.049560430855089085,0.012377004740009483,0.07384002454782113,0.06146683774313422,0.07644614841250266,0.05683002029134347,0.05414936866285817,0.08423233320355429,0.08699404727090713,0.06016597721414645
Barclays,AT,J,0.652798658185421,0.5148247401326955,0.4039808368833977,0.3565608472235879,0.3874502488038728,0.5659004079639152,0.4475178255914816,0.6803905131417703,0.5381412375467866,0.0,0.5138568666381466,0.4033829861063511,0.1814669715288208,0.4919988075624906,0.526927116563043,0.5136527374061749,0.4379235016771771,0.42833703437790693,0.6040989671641593,0.5908208287904673,0.38192470832257197
