Bank,Sector,Geography,GBP m,EUR m
Bank X,"Agriculture, forestry and fishing",United Kingdom,52.426964,61.33954788
Bank X,"Agriculture, forestry and fishing",United States,22.76588004,26.63607965
Bank X,"Agriculture, forestry and fishing",Other Countries,4.816889065,5.635760206
Bank X,"Agriculture, forestry and fishing",France,4.496122378,5.260463183
Bank X,Mining and quarrying,United Kingdom,844.5926288,988.1733757
Bank X,Mining and quarrying,United States,366.7558257,429.1043161
Bank X,Mining and quarrying,Other Countries,77.5995535,90.7914776
Bank X,Mining and quarrying,France,72.43203744,84.7454838
Bank X,Mining and quarrying,Japan,25.51528879,29.85288789
Bank X,Mining and quarrying,Germany,21.4003747,25.0384384
Bank X,Mining and quarrying,Ireland,20.19476564,23.62787579
Bank X,Mining and quarrying,Luxembourg,17.0000644,19.89007535
Bank X,Mining and quarrying,Canada,11.38871926,13.32480153
Bank X,Mining and quarrying,Singapore,9.120741815,10.67126792
Bank X,Manufacturing,United Kingdom,4346.252927,5085.115925
Bank X,Manufacturing,United States,1887.316473,2208.160273
Bank X,Manufacturing,Other Countries,399.3253967,467.2107142
Bank X,Manufacturing,France,372.733486,436.0981786
Bank X,Manufacturing,Singapore,46.9351134,54.91408268
Bank X,"Electricity, gas, steam and air conditioning supply",United Kingdom,1844.161668,2157.669151
Bank X,"Electricity, gas, steam and air conditioning supply",United States,800.8085935,936.9460544
Bank X,"Electricity, gas, steam and air conditioning supply",Other Countries,169.4380428,198.2425101
Bank X,"Electricity, gas, steam and air conditioning supply",France,158.1548103,185.041128
Bank X,"Electricity, gas, steam and air conditioning supply",Japan,55.71244162,65.1835567
Bank X,"Electricity, gas, steam and air conditioning supply",Germany,46.72755758,54.67124236
Bank X,Water supply,France,38.98286326,45.60995001
Bank X,Water supply,Japan,13.73230754,16.06679982
Bank X,Water supply,Germany,11.51766414,13.47566705
Bank X,Water supply,Ireland,10.86880634,12.71650341
Bank X,Water supply,Luxembourg,9.149420744,10.70482227
Bank X,Water supply,Canada,6.129399381,7.171397276
Bank X,Water supply,Singapore,4.908775779,5.743267661
Bank X,Construction,United Kingdom,1221.375425,1429.009247
Bank X,Construction,United States,530.3699526,620.5328445
Bank X,Construction,Other Countries,112.2176354,131.2946334
Bank X,Construction,France,104.744829,122.55145
Bank X,Construction,Japan,36.89796196,43.1706155
Bank X,Construction,Germany,30.94733585,36.20838295
Bank X,Construction,Ireland,29.20389028,34.16855163
Bank X,Construction,Luxembourg,24.5839949,28.76327403
Bank X,Construction,Canada,16.46936209,19.26915364
Bank X,Wholesale and retail trade,Japan,102.8095572,120.287182
Bank X,Wholesale and retail trade,Germany,86.22920419,100.8881689
Bank X,Wholesale and retail trade,Ireland,81.3714056,95.20454456
Bank X,Wholesale and retail trade,Luxembourg,68.49889523,80.14370742
Bank X,Wholesale and retail trade,Canada,45.88892541,53.69004273
Bank X,Wholesale and retail trade,Singapore,36.75049243,42.99807614
Bank X,Transport and storage,United Kingdom,1148.208124,1343.403505
Bank X,Transport and storage,United States,498.5977903,583.3594147
Bank X,Transport and storage,Other Countries,105.4951638,123.4293416
Bank X,Transport and storage,France,98.47002088,115.2099244
Bank X,Transport and storage,Japan,34.68756519,40.58445127
Bank X,Transport and storage,Germany,29.09341526,34.03929585
Bank X,Transport and storage,Ireland,27.45441195,32.12166198
Bank X,Accomodation and food service activities,Japan,41.52761191,48.58730593
Bank X,Accomodation and food service activities,Germany,34.83035063,40.75151024
Bank X,Accomodation and food service activities,Ireland,32.86815198,38.45573782
Bank X,Accomodation and food service activities,Luxembourg,27.66859049,32.37225087
Bank X,Accomodation and food service activities,Canada,18.53580092,21.68688707
Bank X,Accomodation and food service activities,Singapore,14.84453613,17.36810728
Bank X,Information and communication,United Kingdom,2547.604778,2980.69759
Bank X,Information and communication,United States,1106.271665,1294.337848
Bank X,Information and communication,Other Countries,234.0690488,273.8607871
Bank X,Information and communication,France,218.4819028,255.6238263
Bank X,Real estate activities,Japan,215.5571976,252.2019212
Bank X,Real estate activities,Germany,180.7937521,211.52869
Bank X,Real estate activities,Ireland,170.608576,199.6120339
Bank X,Real estate activities,Luxembourg,143.6192344,168.0345042
Bank X,Real estate activities,Canada,96.21370258,112.570032
Bank X,Real estate activities,Singapore,77.05347024,90.15256019
Bank X,"Professional, scientific and technical activities",United Kingdom,1390.178727,1626.50911
Bank X,"Professional, scientific and technical activities",United States,603.6710828,706.2951669
Bank X,"Professional, scientific and technical activities",Other Countries,127.7269595,149.4405426
Bank X,"Professional, scientific and technical activities",France,119.2213549,139.4889853
Bank X,"Professional, scientific and technical activities",Japan,41.99753878,49.13712037
Bank X,"Professional, scientific and technical activities",Germany,35.22449123,41.21265474
Bank X,"Professional, scientific and technical activities",Ireland,33.24008832,38.89090334
Bank X,Administrative and support service activities,Japan,150.185148,175.7166232
Bank X,Administrative and support service activities,Germany,125.9644156,147.3783662
