region,Code,indout
AT,A,10250.43749009812
AT,B,4041.3578457025696
AT,C,156050.61214232273
AT,D,37297.84216254287
AT,E,29062.300132044624
AT,F,72258.5581881
AT,G,45148.751322986
AT,H,34025.2400130236
AT,I,37014.4073782
AT,J,28902.21104519
AT,K,34827.97457641
AT,L,47844.7984772
AT,M,2942.19210529
AT,N,31970.009870449998
AT,O,31101.2370475
AT,P,73889.3180909
AT,Q,33327.1449753
AT,R,11906.8128209
AT,S,91664.70035145
AT,T,115.404317544
AT,U,0.0
AU,A,53748.883403822
AU,B,216931.97336608
AU,C,259248.5686465337
AU,D,49871.79047054135
AU,E,22781.97180147867
AU,F,315710.739591
AU,G,121355.037112625
AU,H,77743.23281039699
AU,I,90371.9430399
AU,J,74706.4946191
AU,K,205841.57429299998
AU,L,205941.251558
AU,M,10960.6359967
AU,N,84262.0284839
AU,O,130499.72961
AU,P,304319.7457483
AU,Q,114195.726404
AU,R,52711.2815992
AU,S,102598.18226674
AU,T,2021.29811364
AU,U,0.0
BE,A,11102.476603853507
BE,B,2107.1031488929793
BE,C,213887.2509583754
BE,D,21391.04170215221
BE,E,25279.492003531086
BE,F,89435.2919093
BE,G,83164.073483915
BE,H,45578.126150647004
BE,I,19739.8269256
BE,J,34741.192089560005
BE,K,53660.9756715
BE,L,60375.7653363
BE,M,6318.50488221
BE,N,55905.1821394
BE,O,40809.1762858
BE,P,145179.67291969998
BE,Q,53681.3397828
BE,R,15331.5720129
BE,S,55436.905237934
BE,T,797.167068224
BE,U,0.0
BG,A,5318.69819202703
BG,B,2333.539251105
BG,C,34775.74293200699
BG,D,4625.28697117444
BG,E,1779.072269913001
BG,F,13129.8829321
BG,G,7154.835254224
BG,H,9616.527919403201
BG,I,5347.02465294
BG,J,3576.5902999100003
BG,K,6471.180199314999
BG,L,8050.28151314
BG,M,342.670585838
BG,N,4192.674662405
BG,O,6238.57892604
BG,P,8889.26021011
BG,Q,3684.24015846
BG,R,2289.13372631
BG,S,10966.250543964
BG,T,0.0
BG,U,0.0
BR,A,157420.6288674626
BR,B,120271.51532120322
BR,C,755275.6387701915
BR,D,10999.2682805188
BR,E,104042.99727780688
BR,F,149824.888407
BR,G,120544.81715847302
BR,H,123888.68682573999
BR,I,103775.498342
BR,J,33596.2018933
BR,K,172060.4395854
BR,L,52976.0370015
BR,M,32705.0286492
BR,N,184642.6712092
BR,O,227712.684866
BR,P,187629.64780869999
BR,Q,110071.232204
BR,R,34225.0914733
BR,S,322827.4849761
BR,T,2790.33041784
BR,U,0.0
CA,A,84434.11859714064
CA,B,94191.72222874474
CA,C,532114.1645598337
CA,D,25550.902967870345
CA,E,30175.8792340652
CA,F,278424.402058
CA,G,142724.558963187
CA,H,100831.169279907
CA,I,65043.4677699
CA,J,77944.720918
CA,K,206448.9304324
CA,L,222326.952006
CA,M,2051.94120051
CA,N,97652.5443208
CA,O,360207.88031
CA,P,243676.62622719997
CA,Q,129341.545473
CA,R,78019.4385151
CA,S,263876.7476218
CA,T,3305.76269593
CA,U,0.0
CH,A,10734.401385578036
CH,B,3238.883076405048
CH,C,307548.8096302151
CH,D,33496.46688472482
CH,E,21672.78536857806
CH,F,87503.4650702
CH,G,87625.50963362001
CH,H,56548.495657012
CH,I,41501.6445234
CH,J,60559.33966479
CH,K,134175.7468862
CH,L,48022.3015845
CH,M,14945.7850129
CH,N,52992.005512
CH,O,47625.7359988
CH,P,129713.4499946
CH,Q,50456.8382148
CH,R,20940.6816513
CH,S,155926.80841633
CH,T,1285.48183473
CH,U,0.0
CN,A,1746519.90276403
CN,B,649206.32530351
CN,C,16229529.621123772
CN,D,572670.183441695
CN,E,291991.9521746675
CN,F,3571663.93072
CN,G,876966.5679046001
CN,H,719370.67763652
CN,I,1139857.78164
CN,J,366474.5436454
CN,K,1601235.159272
CN,L,970329.832348
CN,M,141532.819083
CN,N,731260.93485
CN,O,1383759.86451
CN,P,2241899.37647
CN,Q,1025946.45875
CN,R,304546.415305
CN,S,5752788.740443001
CN,T,90141.5441019
CN,U,0.0
CY,A,1050.625927390137
CY,B,198.62481814430714
CY,C,3459.3000385022756
CY,D,439.653101687782
CY,E,519.4243953332063
CY,F,4939.62062869
CY,G,1027.498834775
CY,H,3002.6833639917
CY,I,3952.92304961
CY,J,2869.5107687520003
